id;distancia;velocidad;costo;paths;factor_trafico
4827820;0.3031979;70.0;0.0003937727272727272;[4827827, 4827828, 4828025, 28316968, 28317001, 28317005, 75226945, 118506027, 121289998, 172099444];7
4827822;0.0347841;70.0;0.0004969;[144954706, 157935082];6
4827827;1.4677603;70.0;0.0013978733333333334;[4827820, 4827843, 27455459, 28316933, 28316968, 42211168, 42213116, 42213129, 46490672, 77526845, 77526851, 77861291, 118632350, 126129847, 172742936, 194875158];2
4827828;1.4594333;70.0;0.0017374166666666666;[4827820, 4827843, 42211168, 42213129, 75226934, 75226937, 75226939, 75226945, 75226949, 75226952, 75226954, 75226956, 118632350, 175010881, 175010882];1
4827829;0.28552869999999997;60.0;0.001189725;[4827838, 4827844, 111888318, 111925865, 144954708, 148630600];2
4827832;0.2841521;70.0;0.0040593;[4827846, 157935083];0
4827838;0.2843093;70.0;0.0040616;[4827829, 4827844, 144954708];0
4827843;0.3781779;70.0;0.0003601533333333333;[4827827, 4827828, 11981861, 11981891, 28224174, 28815017, 28815022, 28815024, 28816099, 54830141, 77526836, 183890441, 183890444];8
4827844;0.10730020000000001;70.0;0.0007664;[4827829, 4827838, 4827847, 4827849];3
4827845;0.0974909;70.0;0.0013927;[4827846, 123815472];2
4827846;0.1098769;70.0;0.0015697;[4827832, 4827845];1
4827847;0.0980053;70.0;0.0014001;[4827844, 4827863];2
4827849;2.5211008;40.0;0.0020331451612903228;[4827844, 4827850, 27877408, 76783558, 77861283, 77861305, 77861309, 77861334, 77861357, 77861366, 89558382, 89558383, 89558402, 89558405, 89558407, 89558416, 89558418, 89558427, 89558447, 111904196, 111905247, 111908288, 111914379, 111920376, 111933555, 111937821, 111940038, 123835441, 144954714];2
4827850;0.2517225;50.0;0.0050345;[4827849];0
4827860;0.1699778;50.0;0.0011331666666666667;[111901804];3
4827863;0.1894082;70.0;0.0009019666666666666;[4827847, 30103301];3
4827876;0.44048930000000003;30.0;0.004894366666666666;[11985087, 231340874];1
4827878;0.2240904;30.0;0.0074697;[111926175, 176509343];0
4827883;0.4327494;70.0;0.0010303833333333333;[4827892, 45763046, 75039254, 75039264, 75039271, 111931918];2
4827892;0.8772707000000001;70.0;0.0011393;[4827883, 4827894, 4827895, 4827896, 30103301, 75039224, 75039235, 75039245, 75039255, 75042160, 75046498, 111880236, 176509347];2
4827894;11.3473039;70.0;0.0030019296296296297;[4827892, 4827896, 46960433, 67801625, 67801631, 67801644, 68852735, 68863211, 70196480, 70196482, 70196525, 70196528, 109831751, 110061785, 110061788, 111598031, 123834276, 170247470, 170352433, 173557909, 176509335, 176509343, 176509376, 176513331, 232074855, 239202059];0
4827895;1.7473359;60.0;0.0013867714285714285;[4827892, 75037361, 75037365, 75039241, 75039245, 75039248, 75039254, 75039258, 75039261, 75039264, 75039266, 75039267, 75039269, 75039271, 75046481, 75046485, 75046498, 111882716, 111963120, 117598402, 176509347];2
4827896;0.5347471;60.0;0.0014854166666666668;[4827892, 4827894, 75037353, 75039245, 75042158, 75042160, 75046481, 75046498, 117598402];2
4827908;0.9897963;40.0;0.0022495363636363635;[14341811, 71094122, 71094130, 71094134, 71094135, 71094137, 71094138, 71094142, 173380686, 173380687];2
4827909;1.5955394;120.0;0.0014773666666666667;[4828743, 4831299, 25113196, 25113198, 25113517, 26411773, 61732252];1
4827926;1.9202227;120.0;0.0026669666666666665;[4832777, 11985087];0
4827929;0.2195463;120.0;0.00091475;[44114125, 123834279, 173523132];1
4827937;2.0102742;60.0;0.0014567304347826088;[4832976, 71069646, 71069648, 71070222, 71070225, 71070233, 71070239, 71070641, 71070642, 71070648, 71075338, 71075346, 111883323, 111892790, 111909194, 111935573];2
4827949;1.4756507;120.0;0.0020495333333333332;[4832777, 100610361, 122375947, 122375973];0
4827951;0.2162641;120.0;0.0018022;[30103220, 100610362];0
4828013;1.3980651;60.0;0.0017924076923076923;[77861283, 77861292, 77861309, 89558427, 91568603, 111887743, 111903511, 111907851, 111921456, 111923013, 111933198, 130147857, 157935083, 160393810, 160393812];1
4828021;0.6233685;60.0;0.00207788;[75226934, 75226949, 75226952, 75226957, 157935082, 173172199, 173273823];1
4828025;3.7185087;70.0;0.0025296095238095235;[4827820, 28316972, 28316983, 53833408, 76560274, 77861276, 77861292, 77861309, 77861315, 77861339, 91568629, 91568638, 91568690, 111964471, 121289996, 144954707];1
4828026;0.2179004;70.0;0.0010376333333333334;[53718102, 53718104, 180067384, 180528457];2
4828352;0.5463999;60.0;0.0015177666666666666;[67654384, 68861142, 68861143, 68861146, 111883509, 173523130, 239202057];2
4828405;0.7532069;60.0;0.0013948333333333332;[4828411, 4828501, 68863220, 68863221, 70601040, 111893360];2
4828407;3.2729082;70.0;0.002125268181818182;[4832984, 38298425, 70649215, 70807363, 70810351, 71213444, 111884382, 111894414, 111896677, 121371424, 121371526, 121371727, 121372075, 121372314, 162154151, 173665899, 246410999];1
4828408;2.0142538;40.0;0.002962135294117647;[70601029, 70601035, 70601037, 70601042, 70601043, 70601819, 70601824, 70605457, 181372231, 181373897];1
4828411;1.611844;40.0;0.005756585714285715;[4828405, 68863222, 181373897];0
4828501;2.3510034;30.0;0.0041245684210526315;[4828405, 53399307, 68863220, 68863222, 70601034, 70601817, 70601818, 70605460, 70625601, 111885785, 118276314, 181373897, 181374490, 207873079];1
4828731;0.6307449;70.0;0.002252675;[4832881, 4832882, 25113831];1
4828738;0.6676565;70.0;0.0031793;[25113831, 115610885, 201624512];0
4828743;2.462578;70.0;0.00351797;[4827909, 4831299, 4832984, 38298425, 61732248, 61732252, 115610889, 115610950, 124345503, 173719378];0
4828763;3.2662364;70.0;0.0021209318181818182;[4832972, 4832984, 38298425, 70807363, 70809342, 70810351, 70810356, 70817715, 70817718, 70817724, 70817726, 71213444, 111884382, 111894414, 111896677, 121371424, 162154151, 173665899, 246410999];1
4828802;1.5225467;60.0;0.001268785;[4831287, 4832968, 25113998, 111908350, 121371349, 121371574, 121371625, 121371694, 121371743, 121371797, 121371878, 121372017, 121372180, 164241746, 164244343, 246935554, 246935558];2
4831287;2.0768366;60.0;0.0014422458333333335;[4828802, 4832968, 4832984, 38298425, 53399305, 61732252, 70639031, 70646978, 111923190, 111949846, 121371407, 121371434, 121371513, 121371854, 121371896];2
4831299;3.083583;60.0;0.0013177717948717948;[4827909, 4828743, 4832968, 25113196, 25113198, 25113273, 25113313, 25113326, 25113342, 25113618, 26411656, 53399305, 70656262, 70659776, 70661663, 70668473, 70674518, 70677435, 111880820, 115576262, 115610764, 115610930, 115626751, 115626764, 115626788, 181374428];2
4831340;2.5359111;60.0;0.001921140909090909;[4832980, 25113998, 29874531, 121371349, 121372160, 121372243, 130772859];1
4831347;0.46182429999999997;60.0;0.001924275;[27945261, 49508403, 49510423, 49532769, 111970071];1
4831356;3.451284;60.0;0.002739104761904762;[4832972, 25113998, 36777372, 46961185, 46961196, 46961218, 46961237, 46961280, 71283637, 71283653, 71283667, 71283670, 71283671, 71284712, 71284714, 111958270, 121371349, 127435721, 130772848, 164105524, 173665899];1
4831386;2.0002641;60.0;0.0025644307692307693;[4832976, 71069646, 71075422, 71075427, 71094134, 71094135, 71094140, 71094142, 111909194, 111935573, 123834278, 123835421];1
4831397;2.0474098;60.0;0.0021327125;[14341811, 71094118, 71094119, 71094120, 71094121, 71094126, 71094131, 71094132, 71094137, 71094138, 71094142, 71094144, 75032315, 75032848, 111892251, 111937419, 111954794];1
4831400;1.8205164;60.0;0.001596942105263158;[71085180, 71089911, 71089912, 71089913, 71089933, 71089943, 71095740, 71095746, 71095796, 71095801, 71185495, 71187245, 71187507, 71197448, 71284937, 121372561, 130772848, 130856945, 163147882, 173426388];2
4832777;0.1997562;120.0;0.0016646;[4827926, 4827949];0
4832854;1.1841001;70.0;0.0016915699999999999;[44366482, 169399535, 169399554];1
4832866;0.2265693;30.0;0.0075523;[4832867];0
4832867;1.7052857;70.0;0.00162408;[4832866, 24252777, 24252780, 24252786, 28707264, 28798001, 44364379, 44364645, 75223312, 75223322, 75223332, 111924331, 111925884, 111931271, 126587263, 151316320, 172098498, 187984508];1
4832868;0.2251681;30.0;0.0075056;[75037344, 129897454];0
4832881;2.7446255;60.0;0.0032674071428571427;[4828731, 4832890, 4832984, 25113817, 25113820, 25137819, 25137853, 114396067, 114396083, 114396089];0
4832882;2.7730006;60.0;0.00462166;[4828731, 4832890, 4832984, 25113817, 25113820, 25137819, 25137853, 114396067, 114423697];0
